Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Case_Closure_Days
1,2020-02-01,2020-01-01,01-01-2020 01:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,2020,
2,2020-01-01,2020-01-01,01-01-2020 06:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,2020,
3,2020-02-01,2020-01-01,01-01-2020 14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,2020,
4,2020-01-01,2020-01-01,01-01-2020 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29,2020,119.0
5,2020-01-01,2020-01-01,01-01-2020 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-01-08,2020,7.0
6,2020-02-01,2020-01-01,01-01-2020 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,2020-03-30,2020,88.0
7,2020-01-01,2020-01-01,01-01-2020 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24,2020,83.0
8,2020-02-01,2020-01-01,02-01-2020 06:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,2020,
9,2020-04-01,2020-01-01,02-01-2020 06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,2020,
10,2020-03-01,2020-01-01,01-01-2020 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,2020,
11,2020-02-01,2020-01-01,01-01-2020 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,2020-02-01,2020,30.0
12,2020-03-01,2020-01-01,01-01-2020 22:16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,2020,
13,2020-01-01,2020-01-01,01-01-2020 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29,2020,59.0
14,2020-02-01,2020-01-01,01-01-2020 17:46,Mumbai,436,ASSAULT,32,X,,Violent Crime,18,No,,2020,
15,2020-02-01,2020-01-01,01-01-2020 22:28,Bangalore,266,SEXUAL ASSAULT,77,F,,Violent Crime,19,No,,2020,
16,2020-02-01,2020-01-01,01-01-2020 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30,2020,88.0
17,2020-03-01,2020-01-01,02-01-2020 02:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,2020,
18,2020-04-01,2020-01-01,01-01-2020 23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,2020,
19,2020-02-01,2020-01-01,02-01-2020 10:42,Bangalore,480,CYBERCRIME,11,M,,Other Crime,3,Yes,2020-01-24,2020,22.0
20,2020-03-01,2020-01-01,02-01-2020 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-03-05,2020,62.0
21,2020-03-01,2020-01-01,02-01-2020 02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22,2020,19.0
22,2020-03-01,2020-01-01,02-01-2020 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03,2020,60.0
23,2020-02-01,2020-01-01,01-01-2020 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,2020,
24,2020-03-01,2020-01-01,01-01-2020 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,2020,
25,2020-03-01,2020-02-01,02-01-2020 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,2020,
26,2020-02-01,2020-02-01,02-01-2020 08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,2020-03-12,2020,70.0
27,2020-02-01,2020-02-01,02-01-2020 04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,2020,
28,2020-02-01,2020-02-01,02-01-2020 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,,Other Crime,7,No,,2020,
29,2020-04-01,2020-02-01,02-01-2020 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,2020,
30,2020-04-01,2020-02-01,02-01-2020 09:35,Bhopal,517,BURGLARY,37,F,,Other Crime,4,No,,2020,
31,2020-03-01,2020-02-01,02-01-2020 13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,2020,
32,2020-04-01,2020-02-01,02-01-2020 15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,2020-03-18,2020,74.0
33,2020-03-01,2020-02-01,03-01-2020 03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,2020,
34,2020-05-01,2020-02-01,03-01-2020 02:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,2020,
35,2020-04-01,2020-02-01,02-01-2020 22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,2020,
36,2020-04-01,2020-02-01,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,2020,
37,2020-03-01,2020-02-01,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-07-02,2020,181.0
38,2020-04-01,2020-02-01,02-01-2020 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,2020,
39,2020-03-01,2020-02-01,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32,F,,Violent Crime,13,Yes,2020-03-11,2020,68.0
40,2020-03-01,2020-02-01,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15,2020,12.0
41,2020-05-01,2020-02-01,03-01-2020 01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,2020,
42,2020-03-01,2020-02-01,03-01-2020 11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,2020,
43,2020-03-01,2020-02-01,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17,2020,74.0
44,2020-04-01,2020-02-01,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,2020,
45,2020-05-01,2020-02-01,03-01-2020 06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-01-12,2020,7.0
46,2020-04-01,2020-02-01,03-01-2020 09:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,2020,
47,2020-05-01,2020-02-01,03-01-2020 09:55,Delhi,555,ROBBERY,47,F,,Violent Crime,9,No,,2020,
48,2020-05-01,2020-02-01,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14,2020,69.0
49,2020-05-01,2020-03-01,03-01-2020 02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,2020,
50,2020-03-01,2020-03-01,03-01-2020 06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,2020,
51,2020-03-01,2020-03-01,03-01-2020 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13,2020,101.0
52,2020-05-01,2020-03-01,03-01-2020 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14,2020,100.0
53,2020-05-01,2020-03-01,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20,2020,15.0
54,2020-05-01,2020-03-01,03-01-2020 18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,2020,
55,2020-06-01,2020-03-01,03-01-2020 07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,2020,
56,2020-04-01,2020-03-01,03-01-2020 11:11,Meerut,596,BURGLARY,49,F,,Other Crime,19,No,,2020,
57,2020-06-01,2020-03-01,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20,2020,196.0
58,2020-03-01,2020-03-01,03-01-2020 09:43,Ahmedabad,110,ASSAULT,70,F,,Violent Crime,15,No,,2020,
59,2020-04-01,2020-03-01,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,2020,
60,2020-05-01,2020-03-01,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31,2020,86.0
61,2020-03-01,2020-03-01,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,2020,
62,2020-05-01,2020-03-01,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,2020-02-09,2020,35.0
63,2020-03-01,2020-03-01,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,2020-03-15,2020,72.0
64,2020-06-01,2020-03-01,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20,2020,74.0
65,2020-05-01,2020-03-01,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,2020,
66,2020-06-01,2020-03-01,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15,2020,69.0
67,2020-03-01,2020-03-01,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25,M,,Other Crime,6,No,,2020,
68,2020-04-01,2020-03-01,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,2020-05-02,2020,119.0
69,2020-06-01,2020-03-01,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17,2020,11.0
70,2020-06-01,2020-03-01,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,2020,
71,2020-06-01,2020-03-01,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,2020,
72,2020-05-01,2020-03-01,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23,2020,78.0
73,2020-05-01,2020-04-01,04-01-2020 07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,2020,
74,2020-06-01,2020-04-01,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,2020-01-20,2020,14.0
75,2020-05-01,2020-04-01,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,2020,
76,2020-06-01,2020-04-01,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,2020-01-26,2020,20.0
77,2020-04-01,2020-04-01,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,2020,
78,2020-05-01,2020-04-01,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29,2020,84.0
79,2020-05-01,2020-04-01,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,2020,
80,2020-07-01,2020-04-01,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,,Violent Crime,15,Yes,2020-01-15,2020,8.0
